"","Well","Well.Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp.Status","Amp.Score","Curve.Quality","Result.Quality.Issues","Cq","Cq.Confidence","Cq.Mean","Cq.SD","Auto.Threshold","Threshold","Auto.Baseline","Baseline.Start","Baseline.End"
"1",1,"A1","false","16000491010519","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp",1.07167861540641,NA,NA,"32.410342035671476",0.966241541867586,32.4837768033919,0.103852444459374,"true",0.0399999991059303,"true",3,29
"2",1,"A1","false","16000491010519","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp",0.967183285253536,NA,NA,"32.25764633182732",0.949066537724124,32.2513774190983,0.00886558142177973,"true",0.0399999991059303,"true",3,29
"3",2,"A2","false","16000491010521","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"4",2,"A2","false","16000491010521","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp",0.554519817929451,NA,NA,"43.225924674311806",0.302498869098211,39.5782464739575,5.15859598211369,"true",0.0399999991059303,"true",3,36
"5",3,"A3","false","16000491010560","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"6",3,"A3","false","16000491010560","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"7",4,"A4","false","16000491010594","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"8",4,"A4","false","16000491010594","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"9",5,"A5","false","16000491010595","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Inconclusive",0.551166184695575,NA,NA,"43.63447658799363",0.0446180002126503,43.6344765879936,NA,"true",0.0399999991059303,"true",3,39
"10",5,"A5","false","16000491010595","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp",0.952485964660471,NA,NA,"36.018363568017165",0.930742168668179,36.0183635680172,NA,"true",0.0399999991059303,"true",3,33
"11",6,"A6","false","16000491010613","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"12",6,"A6","false","16000491010613","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"13",7,"A7","false","16000491010519","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp",0.838928728425603,NA,NA,"33.31810388542023",0.953709672189696,33.2563515308747,0.0873310173064432,"true",0.0399999991059303,"true",3,29
"14",7,"A7","false","16000491010519","GYPC2","UNKNOWN","CY5","NFQ-MGB","Amp",0.771856146020993,NA,NA,"32.54523494106522",0.912933214998886,32.2520756430602,0.414589855174703,"true",0.0399999991059303,"true",3,29
"15",8,"A8","false","16000491010521","DPP6","UNKNOWN","VIC","NFQ-MGB","Inconclusive",0.756189090987676,NA,NA,"37.847065171831346",0.894167032080199,37.8470651718313,NA,"true",0.0399999991059303,"true",3,33
"16",8,"A8","false","16000491010521","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"17",9,"A9","false","16000491010560","DPP6","UNKNOWN","VIC","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"18",9,"A9","false","16000491010560","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"19",10,"A10","false","16000491010594","DPP6","UNKNOWN","VIC","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"20",10,"A10","false","16000491010594","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"21",11,"A11","false","16000491010595","DPP6","UNKNOWN","VIC","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"22",11,"A11","false","16000491010595","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"23",12,"A12","false","16000491010613","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp",0.63611352029331,NA,NA,"36.516680732713624",0.905354016979368,36.973240210511,0.645672605531716,"true",0.0399999991059303,"true",3,32
"24",12,"A12","false","16000491010613","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"25",13,"A13","false","16000491010519","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp",0.769431206612723,NA,NA,"35.86935162043195",0.935581168094118,35.5730394268465,0.419048722865577,"true",0.0399999991059303,"true",3,32
"26",13,"A13","false","16000491010519","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp",0.852461955270579,NA,NA,"35.05742838042491",0.929735569320122,35.0631543885927,0.00809779839247454,"true",0.0399999991059303,"true",3,32
"27",14,"A14","false","16000491010521","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp",0.964956193305194,NA,NA,"37.7117025939892",0.93335585622779,37.7117025939892,NA,"true",0.0399999991059303,"true",3,35
"28",14,"A14","false","16000491010521","GSX1","UNKNOWN","VIC","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"29",15,"A15","false","16000491010560","RALYL","UNKNOWN","CY5","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"30",15,"A15","false","16000491010560","GSX1","UNKNOWN","VIC","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
"31",16,"A16","false","16000491010594","RALYL","UNKNOWN","CY5","NFQ-MGB","No Amp",0,NA,NA,"Undetermined",0,NA,NA,"true",0.0399999991059303,"true",3,44
